collect.....= UnicornPy_2020.05.30.0
device......= UN-2021.05.36
samplerate..= 250.000
channels....= 16
date........= 2022-07-25T14:07:23.241906
filename....= recordeddata_thread
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-111.669,-114.977,-105.679,-108.629,-111.938,-99.868,-105.858,-105.053,-0.009,0.892,-0.425,-0.580,0.397,0.519,73.333,146.000
-111.580,-114.977,-105.590,-108.629,-111.848,-100.046,-105.768,-105.143,-0.012,0.893,-0.426,-0.580,0.458,0.549,73.333,147.000
-111.938,-114.977,-105.679,-108.719,-111.669,-100.046,-105.947,-105.053,-0.013,0.893,-0.426,-0.732,0.427,0.519,73.333,148.000
-111.938,-114.799,-105.679,-108.808,-111.669,-99.868,-105.858,-104.785,-0.012,0.892,-0.425,-0.671,0.488,0.610,73.333,149.000
-111.848,-114.888,-105.858,-108.808,-111.401,-99.778,-105.768,-104.785,-0.012,0.893,-0.427,-0.702,0.488,0.641,73.333,150.000
-111.759,-114.888,-105.679,-108.719,-111.491,-99.689,-105.590,-104.785,-0.014,0.894,-0.425,-0.793,0.519,0.580,73.333,151.000
-111.669,-114.977,-106.126,-108.540,-111.580,-99.689,-105.590,-104.874,-0.011,0.894,-0.426,-0.793,0.519,0.671,73.333,152.000
-111.759,-114.977,-105.947,-108.540,-111.580,-99.599,-105.590,-104.964,-0.010,0.892,-0.425,-0.763,0.397,0.641,73.333,153.000
-111.669,-114.888,-105.590,-108.629,-111.401,-99.778,-105.947,-104.696,-0.009,0.893,-0.424,-0.732,0.366,0.427,73.333,154.000
-111.669,-114.977,-105.679,-108.719,-111.491,-99.689,-105.679,-104.696,-0.011,0.895,-0.423,-0.732,0.397,0.549,73.333,155.000
-111.938,-115.067,-105.768,-108.451,-111.669,-99.778,-105.590,-104.696,-0.010,0.893,-0.425,-0.763,0.427,0.519,73.333,156.000
-111.848,-115.067,-105.858,-108.361,-111.491,-99.778,-105.500,-104.696,-0.008,0.892,-0.425,-0.732,0.305,0.610,73.333,157.000
